District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
T,Ilkal,651.4,658.4,1
H,Ilkal,651.4,719.6,10
H,Amingarh,636.4,593.5,-7
H,Karadi,653.8,562.9,-14
T,Rabakavi Banahatti,495.7,622.2,26
H,Terdal,495.7,616.1,24
H,Mudhol,549.7,645.8,17
D,VIJAYAPURA,591.2,621.6,5
T,BAGEVADI,668.5,594.5,-11
H,Basavana Bagewadi,668.5,604.3,-10
H,Huvin Hippargi,647.1,602.3,-7
H,Managuli,608.3,577.6,-5
T,Vijayapura,670.9,522.3,-22
H,Vijayapura,670.9,542.5,-19
H,Nagathan,392.3,493.2,26
T,Indi,620.2,649.8,5
H,Indi,620.2,636.3,3
H,Ballolli,563.4,664.4,18
T,Muddebihal,651.7,589.6,-10
H,Muddebihal,651.7,630.3,-3
H,Dhavalagi,637.9,546.1,-14
H,Nalatvad,690.6,590.4,-15
T,Sindgi,657.8,643.4,-2
H,Sindhagi,657.8,644,-2
T,Babaleshwara,544.6,639.8,17
H,Babaleshwar,544.6,652.6,20
H,Mamdapur,568.8,607.7,7
T,Chadachana,552.4,597.8,8
H,Chadchan,552.4,597.9,8
T,Nidagundi,616.4,624.6,1
H,Nidagundi,616.4,618.4,0
H,Basavana Bagewadi,630.8,565.7,-10
H,Huvin Hipprgi,628.5,649.7,3
H,Muddebihal,614.6,681,11
H,Dhavalagi,624.3,645.9,3
T,Talikote,585.8,585.5,0
H,Talikoti,585.8,632,8
H,Devarhipargi,597.5,425.5,-29
H,Dhavalagi,612.4,629.1,3
H,Huvinhippargi,602.7,594.3,-1
T,Tikota,405.5,766.4,89
H,Tikota,405.5,766.4,89
T,Kolhara,605.7,639.4,6
H,Kolhar,605.7,639.4,6
